User,Tweet,Date,Language,Hashtags,Image
dizzibot1,"Gravity  
meme by - PTomCruiser1
#memes #funny #dankmeme https://t.co/jPmzhUfUAk",2019-04-28 18:04:48+00:00,en,"[{'text': 'memes', 'indices': [33, 39]}, {'text': 'funny', 'indices': [40, 46]}, {'text': 'dankmeme', 'indices': [47, 56]}]",http://pbs.twimg.com/media/FP8mIsHWUAAmqSY.jpg
dizzibot1,"Nice Guy Genie  
meme by - Sychomic
#memes #funny #dankmeme https://t.co/LLpAn6tJ17",2019-04-28 18:04:48+00:00,en,"[{'text': 'memes', 'indices': [36, 42]}, {'text': 'funny', 'indices': [43, 49]}, {'text': 'dankmeme', 'indices': [50, 59]}]",http://pbs.twimg.com/media/FP9mVJ3akAEnCOs.jpg
